# Copyright (c) 2011 Walter Bender,,,,,
# Copyright (c) 2011 Educational Solutions,,,,,
# This work is licensed under a Creative Commons,,,,,
# Attribution-NonCommercial 3.0 Unported License.,,,,,
# These words represent Level 1 in English,,,,,
# Use CAPS for highlighted letter in phrase.,,,,,
# letter, phrase, RGB color, color name, vowel or consonant, sound file
A, pAt, #BA6C71, light pink, vowel, a-as-in-pat.ogg,  A          A           A \       A                  \                           \A    A                    \A     A                A  \\                   A    A   \        A      A           \              A             \ A           A             \A    A             A  A       \                  A         \ A                       \A        A        
U, Up, #FFFCC0, yellow, vowel, u-as-in-up.ogg,  a     U    a           a \       a               U  \                           \a    a       U            \a     a          U     a  \\       U           a    a   \        a      a           \   U     U    a      U      \ a           a       U   U \a    a          a             \                  a         \ a                       \a        a        
I, It, #EF2891, pink, vowel, i-as-in-it.ogg,  a  I  u    a  I        a \I      a    I          u  \I                     I  I \a    a   I   u    I       \a     a          u     a  \\I  I   u           a    a   \ I      a      a         I \   u     u    a   I  u      \ a           a       u   u \a    a    I  I  a             \     I            a       I \ a       I               \a        a        
E, pEt, #70A9CE, blue, vowel, e-as-in-pet.ogg,  a  i  u    a  i        a \i   E  a    i          u  \i     E         E     i  i \a    a   i   u    i       \a     a       a  u     a  \\i  i   u           a    a   \ i      a      a         i \a  u     u    a   i  u      \ a     E     a       u   u \a    a    i  i  a  a     E    \     i         E          i \ a       i               \a        a        
O, pOt, #FFFFFF, white, vowel, o-as-in-pot.ogg,  a  i  u    a  i   O    a \i   e  a    i   O      u  \i  a  e     O   e     i  i \a    a   i   u    i    O  \a     a    O  a  u     a  \\i  i   u      O    a    a   \ i   O  a      a      O  i \a  u     u    a   i  u  O   \ a     e     a   O   u   u \a    a    i  i  a  a     e    \  O  i   O     e       O  i \ a       i        O   O  \a    O   a    O   
Y, tummY, #DE1C23, red, vowel, y-as-in-tummy.ogg,  a  i  u    a  i   o    a \i   e  a    i   o      u  \i  a  e     o   e     i  i \a    a   i   u    i    o  \a     a    o     u  Y  a  \\i  i   u  Y   o  Y a    a  Y\ i   o  a  a          o  i \a  u  Y  u  Y a   i  u  o   \ a     e     a   o   u   u \a    a    i  i  a        e    \  o  i   o     e  a    o  i \ a       i        o   o  \a    o   a    o   
P, Pat, #A4221E, brown, double, p-as-in-pat.ogg, Pa  i  uP   a  i   o   Pa \i   e  a    i   o      u P\i  a  e     o   e     i  i \a    a   i   uP   i    oP \a     a    o     u  y  a  \\i  i   u  y   o  y a    a  y\ iP PoP a      a     Po  i \   u  y PuPPy a   i  uP o   \ a     e     a   oP  uP  u \a    a    i  i  a     a  e P  \ Po  i   o    Pe  a    o  i \ a       i        o   oP \a    oP  a    oP  
N, Not-teNNis, #7A6BBD, purple, double, n-as-in-not.ogg, pa  i  up   a  i  No   pa \i   eN aN   i   oN     u p\iN    eN    o   eN    i  iN\aN   a   i   up   i    op \aN    aN   oN    u  y  a  \\i  i   uNNy   o  y aN   a  y\ ip pop a      aN    po  i \  Nu  y puppy aN  i  up oN  \ aN    eN    a   op  up  u \aN   aN   i  i     a     e p  \ po  i   o    pe  aN   o  i \ a       i   N    o   op \aN   op  aN   op  
T, Tap, #C72098, dark pink, double, t-as-in-tap.ogg, paT i  up   a  i  noT  pa \i  Ten an   iT  on    Tu p\in   TenT   o   en   Ti  in\an   a   iT  up  Ti   Top \an   Tan   on a  u Ty  aT \\iT i   unny   o  y an   a  y\ ip pop aT a  Tan    poT i \  nuTTy puppy an  i  up on  \ an   TenT   a   op  up  u \an   an   iT i     a   TTe pT \ poT i  To    peT an  To  i \ a       i T nT  To   op \an   op  an   op  
D, DaD, #2EA539, green, double, d-as-in-dog.ogg, pat i  up   a  i  not  pa \i  ten anD  it  on    tu p\in a tent   o   enD  ti  in\anD  a   it  up  ti   top \anD  tanD  on   Du ty  at \\it i   unny   o  y anD DaDDy\ ip pop at a  tanD   pot i \  nutty puppy anD i  up on  \ an   tent  DaD  op  up  uD\anD  anD  it i     aD  tte pt \ pot i  to    pet anD to  i \DaD      i t nt  to   op \anD  op  anD  op  
S, iS-aS-waS-sayS, #B139A2, purple, double, s-as-in-is.ogg, pat iS up   a  iS not  pa \iS ten and  it  on    tu p\in   tent   o   endS ti  in\and  a   it  up  ti   top \and  tandS on a du ty  at \\it iS  unny   o  y and daddy\ ip pop at    tand   pot iS\  nutty puppy and iS up on  \ an'S tent  dad  op  up  ud\and  and  it iS    ad  tte pt \ pot iS to 'S pet and to  iS\dad'S    i t nt  to   op \and  op  and  op  
M, MoM, #EE3C1E, dark pink, double, m-as-in-mom.ogg, pat is up  saM is not  paM\is ten and sits on   stuMp\in   tent  MoM sends tiM in\and saM sits up  tiM stops\and stands on a dusty Mat \\it is sunny  MoMMy and daddy\sip pop at   stand  spot is\  nutty puppy and is up on  \Man's tent  dad Mops up Mud\and sand  it is   sad  tteMpt \spot is toM's pet and toM is\dad's  ssist nt  toM Mops\and Mops and Mops 
S, sam-stop-it's, #7EC93C, curly green, double, s-as-in-sam.ogg, pat is up  Sam is not  pam\is ten and SitS on   Stump\in   tent  mom Sends tim in\and Sam SitS up  tim StopS\and Stands on   dusty mat \\it is Sunny  mommy and daddy\Sip pop at   Stand  Spot is\  nutty puppy and is up on  \man's tent  dad mopS up mud\and Sand  it is   Sad  ttempt \Spot is tom's pet and tom is\dad's  SSiSt nt  tom mopS\and mopS and mopS 
A, reAd a book, #FFF200, bright yellow, light, a-as-in-read-a-book.ogg, pat is up  sam is not  pam\is ten and sits on A stump\in A tent  mom sends tim in\and sam sits up  tim stops\and stands on A dusty mat \\it is sunny  mommy and daddy\sip pop at A stand  spot is\a nutty puppy and is up on A\man's tent  dad mops up mud\and sand  it is a sad Attempt \spot is tom's pet and tom is\dad's AssistAnt  tom mops\and mops and mops 
-, , , , , , pat is up. sam is not. pam\is ten and sits on a stump\in a tent. mom sends tim in\and sam sits up. tim stops\and stands on a dusty mat.\\it is sunny. mommy and daddy\sip pop at a stand. spot is\a nutty puppy and is up on a\man's tent. dad mops up mud\and sand. it is a sad attempt.\spot is tom's pet and tom is\dad's assistant. tom mops\and mops and mops.
-, , , , , , mom insists sam must study and pass a test./sam did not pass a past test./a pup steps past and tempts sam./sam is a pest and sits in a muddy spot./mom is mad at sam's messy pants and sends pam and a pen./pam's study tip assists sam./pam is an asset!
+, , , , , , pat is up/sam is not/pam is ten/and sits/on a stump/in a tent/mom sent tim in/at the stand/dad and tom/sip pepsi/i'm not ten yet/i'm as fit/as that man/pam/is mom's assistant/and pat/is dad's/stop that/tess/tess stopped it/the fat man/sniffed/puffed/and stamped on it/the puppet/is not independent/sam/must sit it up/on a mat/and then/attempt it/the mess/on the tennis mud/stopped them/yes/i did send tim/up that nutty path/the sun/fanned the dust/that sat/on us

